0  |  8260 
00  |  8260 
00  |  8260 
01  |  8928 
3  |  6818 
3  |  8629 
3  |  9607 
3  |  8285 
03  |  6818 
03  |  8629 
03  |  8928 
4  |  6705 
4  |  12041 
04  |  6025 
04  |  7294 
04  |  12041 
5  |  10750 
5  |  7129 
5  |  5525 
5  |  6000 
5  |  8300 
5  |  7027 
5  |  8606 
05  |  7129 
05  |  5525 
05  |  5587 
05  |  6000 
05  |  7027 
05  |  8606 
6  |  6642 
6  |  6750 
6  |  6975 
06  |  5341 
06  |  8103 
06  |  8633 
7  |  6707 
07  |  5790 
07  |  6561 
07  |  6707 
10  |  5977 
11  |  6842 
11  |  10007 
11  |  7857 
11  |  6512 
11  |  6465 
12  |  6000 
12  |  6000 
16  |  5742 
16  |  8093 
17  |  5790 
18  |  5956 
18  |  5571 
18  |  5956 
19  |  8257 
19  |  8257 
21  |  5102 
21  |  5102 
21  |  4965 
22  |  5880 
22  |  5880 
22  |  5880 
23  |  5772 
26  |  5838 
30  |  5588 
30  |  7419 
30  |  5195 
